date,rainfall_mm,notes
2013-12-30,12,
2014-01-03,3.1,
2014-01-08,2,
2014-01-14,31,
2014-01-16,6,
2014-01-20,2,
2014-01-21,1,
2014-01-25,1.5,
2014-01-26,12.5,
2014-02-01,12.5,
2014-02-02,16,
2014-02-03,42,
2014-02-07,22,
2014-02-09,46,
2014-02-14,1.1,
2014-02-15,2.5,
2014-02-20,6,
2014-02-21,2.2,
2014-02-22,31,
2014-02-23,0.8,
2014-02-24,2,
2014-02-25,10,
2014-02-26,0.7,
2014-03-02,6,
2014-03-03,10.2,
2014-03-04,100,
2014-03-05,40.9,
2014-03-06,5,
2014-03-08,3,
2014-03-09,1.1,
2014-03-10,20,
2014-03-11,58,
2014-03-12,30,
2014-03-13,2,
2014-03-14,2,
2014-03-15,0.2,
2014-03-18,10,
2014-03-19,1.2,
2014-03-29,2,
2014-03-31,10.2,
2014-04-03,7,
2014-04-15,2,
2014-06-30,11,
2014-08-17,12,
2014-09-21,0.5,
2014-09-29,1,
2014-10-26,34,
2014-11-03,2.5,
2014-11-04,4.5,
2014-11-09,7,
2014-11-11,13.8,
2014-11-12,4,
2014-11-13,2.2,
2014-11-16,18,
2014-11-17,3,
2014-11-18,11,
2014-11-23,3,
2014-11-24,9,
2014-11-25,1,
2014-11-27,32,
2014-11-30,8,
2014-12-01,6.9,
2014-12-07,1,
2014-12-08,4.8,
2014-12-09,21,
2014-12-10,16,
2014-12-11,7,
2014-12-12,8,
2014-12-13,9,
2014-12-14,18,
2014-12-16,25,
2014-12-17,1,
2014-12-18,2,
2014-12-19,48,
2014-12-20,19,
2014-12-22,4.8,
2014-12-24,40,
2014-12-25,1,
2014-12-26,8,
2014-12-27,8.5,
2014-12-28,38,
2014-12-29,3,
2015-01-01,6,
2015-01-02,1,
2015-01-04,8.5,
2015-01-05,0.2,
2015-01-08,1,
2015-01-10,3.8,
2015-01-15,28,
2015-01-20,0.8,
2015-01-23,0.2,
2015-01-26,1.4,
2015-01-28,8,
2015-01-29,6.8,
2015-01-30,0.8,
2015-02-01,1.8,
2015-02-07,0.2,
2015-02-09,1,
2015-02-14,4.8,
2015-02-17,46,
2015-02-25,3.8,
2015-03-02,1.6,
2015-03-08,4.5,
2015-03-16,18,
2015-03-19,38,
2015-03-20,22,
2015-03-22,55,
2015-03-23,14,
2015-03-25,2.1,
2015-03-26,4.5,
2015-04-07,4,
2015-04-08,16,
2015-04-09,4,
2015-04-10,0.4,
2015-07-24,5,
2015-07-25,5,
2015-09-04,10,
2015-09-05,43,
2015-09-06,5,
2015-09-19,1,
2015-09-25,3,
2015-10-15,4.1,
2015-10-16,7.9,
2015-10-25,6,
2015-10-26,2.7,
2015-10-27,10.5,
2015-11-14,0.8,
2015-11-15,0.8,
2015-11-17,10,
2015-11-18,11,
2015-11-20,18,
2015-11-21,22,
2015-12-03,4.8,
2015-12-04,9.9,
2015-12-05,3.8,
2015-12-08,2.2,
2015-12-12,30,
2015-12-15,22,
2015-12-18,1.5,
2015-12-22,8,
2015-12-25,1,
2015-12-27,3,
2016-01-02,3.9,
2016-01-09,32,
2016-01-10,14,
2016-01-12,34,
2016-01-13,5.9,
2016-01-14,2.7,
2016-01-16,15,
2016-01-21,15,
2016-01-24,20,
2016-02-05,0.7,
2016-02-07,6.5,
2016-02-09,3,
2016-02-18,20,
2016-02-19,10.1,
2016-02-25,20,
2016-02-26,3,
2016-02-27,9,
2016-03-02,1.4,
2016-03-09,2.5,
2016-03-10,165,
2016-03-11,22,
2016-03-12,36,
2016-03-13,35.8,
2016-03-17,9,
2016-03-18,40,
2016-04-07,8,
2016-04-22,1.5,
2016-04-27,8,
2016-05-10,0.2,
2016-05-15,40,
2016-05-16,18,
2016-06-13,6,
2016-06-14,11.5,
2016-07-26,6,
2016-07-27,2,
2016-09-18,6.8,
2016-09-28,2,
2016-10-09,2.8,
2016-10-16,4.5,
2016-10-19,11.8,
2016-10-20,10,
2016-10-21,16,
2016-10-22,18.2,
2016-10-23,31,
2016-10-27,40,
2016-11-01,1.7,
2016-11-03,6.3,
2016-11-08,1.6,
2016-11-10,1.5,
2016-11-11,68.5,
2016-11-12,24,
2016-11-15,2.7,
2016-11-16,0.2,
2016-11-20,3,
2016-11-21,7,
2016-11-23,1,
2016-11-26,8,
2016-11-27,1.5,
2016-11-28,3,
2016-12-01,9,
2016-12-02,3.8,
2016-12-05,10,
2016-12-06,0.4,
2016-12-07,0.2,
2016-12-09,2.9,
2016-12-11,21.8,
2016-12-12,0.7,
2016-12-13,17.03,
2016-12-16,0.7,
2016-12-17,2.1,
2016-12-20,22,
2016-12-21,18,
2016-12-25,19,
2016-12-28,5,
2016-12-29,9,
2017-01-04,58,
2017-01-05,12,
2017-01-07,75,
2017-01-08,42,
2017-01-09,1,
2017-01-11,3.4,
2017-01-13,1,
2017-01-14,3,
2017-01-21,2.5,
2017-01-22,10,
2017-01-27,63,
2017-01-28,18,
2017-01-31,14,
2017-02-10,10,
2017-02-14,6,
2017-02-15,1.8,
2017-02-20,22,
2017-02-21,60,
2017-02-22,75,
2017-02-23,2,
2017-02-24,14,
2017-02-25,1.3,
2017-03-10,3,
2017-04-06,2.5,
2017-04-07,65,
2017-04-11,18,
2017-04-13,4.5,
2017-04-14,11,
2017-04-15,0.5,
2017-04-24,7,
2017-05-13,16,
2017-05-14,16,
2017-05-15,11.8,
2017-07-09,1,
2017-09-26,9,
2017-09-30,53,
2017-10-03,22,
2017-10-06,29,
2017-10-07,7,
2017-10-08,4,
2017-10-09,12,
2017-10-21,14,
2017-10-22,4,
2017-10-24,1.5,
2017-10-28,0.3,
2017-11-05,6,
2017-11-13,4,
2017-11-15,12,
2017-11-16,21,
2017-11-23,14.2,
2017-11-24,1,
2017-11-25,7.2,
2017-11-26,20,
2017-11-28,42,
2017-11-30,7.8,
2017-12-02,0.8,
2017-12-03,0.8,
2017-12-04,6,
2017-12-05,10,
2017-12-06,42,
2017-12-07,55,
2017-12-08,3,
2017-12-09,2.5,
2017-12-11,3,
2017-12-13,9.7,
2017-12-30,24,
2017-12-31,9,
2018-01-10,44,
2018-01-16,30,
2018-01-22,3.5,
2018-01-24,16,
2018-01-25,9.2,
2018-01-28,5,
2018-01-29,5,
2018-02-03,14,
2018-02-04,22,
2018-02-07,20,
2018-02-08,6,
2018-02-11,1.9,
2018-02-12,0.8,
2018-02-20,3.8,
2018-02-21,9.3,
2018-02-22,7,
2018-02-24,2,
2018-03-01,12,
2018-03-05,4,
2018-03-09,7,
2018-03-15,31,
2018-03-18,13,
2018-03-19,10,
2018-03-22,55,
2018-03-23,146,
2018-03-24,50,
2018-04-01,1.2,
2018-04-10,9.1,
2018-04-11,2,
2018-04-12,32,
2018-05-04,16.3,
2018-05-14,6.9,
2018-05-31,9,
2018-06-01,5,
2018-08-25,2.5,
2018-09-08,10,
2018-09-28,0.5,
2018-09-29,8,
2018-10-04,2,
2018-10-13,5,
2018-10-14,38,
2018-10-15,8,
2018-10-21,6,
2018-11-02,10,
2018-11-06,3.4,
2018-11-20,9.2,
2018-11-25,11.5,
2018-11-26,11.2,
2018-11-28,5.5,
2018-12-07,5,
2018-12-09,17.8,
2018-12-11,4,
2018-12-15,10,
2018-12-17,0.3,
2018-12-23,4.8,
2018-12-24,2,
2018-12-28,3,
2018-12-29,14,
2018-12-31,52.2,
2019-01-02,18,
2019-01-03,22,
2019-01-06,3.5,
2019-01-07,10,
2019-01-09,23,
2019-01-11,3,
2019-01-12,19,
2019-01-15,32,
2019-01-18,10,
2019-01-24,5,
2019-01-25,20,
2019-01-27,7,
2019-01-28,20,
2019-01-31,22.2,
2019-02-02,2,
2019-02-04,13,
2019-02-12,42,
2019-02-13,4.8,
2019-02-14,44,
2019-02-15,38,
2019-02-16,1.4,
2019-02-22,16,
2019-03-06,1.8,
2019-03-09,6,
2019-03-12,2.8,
2019-03-26,2.5,
2019-03-29,3.8,
2019-04-02,5,
2019-04-03,0.3,
2019-04-06,33,
2019-04-09,25,
2019-04-13,16,
2019-04-16,1.8,
2019-04-23,5.4,
2019-04-24,2.3,
2019-04-25,3.7,
2019-04-26,32,
2019-09-07,3,
2019-10-02,1.5,
2019-10-27,10,
2019-11-02,90,
2019-11-03,1.5,
2019-11-10,6,
2019-11-12,32,
2019-11-13,11.3,
2019-11-14,23,
2019-11-19,4.2,
2019-11-21,42,
2019-11-22,1.6,
2019-11-23,3.5,
2019-11-24,12.2,
2019-12-04,11,
2019-12-05,52,
2019-12-06,31,
2019-12-07,2.8,
2019-12-08,7,
2019-12-09,123,
2019-12-10,73,
2019-12-11,25.9,
2019-12-22,1.5,
2019-12-23,34,
2019-12-30,3.3,
2020-01-02,9,
2020-01-05,6.4,
2020-01-07,19,
2020-01-09,12,
2020-01-10,20,
2020-01-13,3.5,
2020-01-14,12,
2020-01-19,10.9,
2020-01-24,7.8,
2020-01-25,20,
2020-01-26,4.5,
2020-01-31,2,
2020-02-07,4.2,
2020-02-08,11,
2020-02-09,7.5,
2020-02-10,9,
2020-02-11,1.5,
2020-02-14,8.8,
2020-02-22,23,
2020-02-28,4,
2020-03-01,4,
2020-03-03,24,
2020-03-13,32,
2020-03-14,1.6,
2020-03-18,6.5,
2020-03-22,44,
2020-03-24,6.5,
2020-03-27,21,
2020-03-31,3.5,
2020-04-04,65,
2020-04-05,22,
2020-04-15,33,
2020-04-26,3,
2020-04-27,2.3,
2020-04-28,23,
2020-04-29,2.7,
2020-06-17,9,
2020-09-02,8,
2020-10-01,8,
2020-10-06,14,
2020-10-12,23.5,
2020-10-21,2.5,
2020-10-25,5,
2020-10-26,9.8,
2020-11-01,55,
2020-11-02,13.8,
2020-11-06,24,
2020-11-09,8,
2020-11-10,4,
2020-11-11,32,
2020-11-21,46,
2020-11-22,21,
2020-11-23,7.8,
2020-11-28,47,
2020-11-29,5,
2020-11-30,12,
2020-12-02,7,
2020-12-05,19,
2020-12-06,1.4,
2020-12-09,1,
2020-12-13,44,
2020-12-15,3,
2020-12-16,1.5,
2020-12-17,2.5,
2020-12-18,7,
2020-12-19,9,
2020-12-22,55,
2021-01-02,12,
2021-01-07,35,
2021-01-11,86,
2021-01-25,22,
2021-01-26,27,
2021-01-28,6.3,
2021-01-29,44,
2021-01-30,5,
2021-01-31,18.5,
2021-02-02,34,
2021-02-03,10,
2021-02-05,3.5,
2021-02-06,18,
2021-02-07,8.5,
2021-02-08,1.6,
2021-02-09,4.6,
2021-02-11,1.2,
2021-02-23,12,
2021-02-24,2,
2021-02-27,9.5,
2021-02-28,7.5,
2021-03-07,2.8,
2021-03-18,12,
2021-03-22,6.5,
2021-03-29,6,
2021-03-30,2.5,
2021-03-31,2,
2021-04-07,7.9,
2021-04-16,1.9,
2021-04-29,17,
2021-04-30,21,
2021-05-09,4,
2021-08-15,1,
2021-09-30,16,
2021-10-01,42,
2021-10-02,13,
2021-10-08,24,
2021-10-09,5,
2021-10-26,16,
2021-10-28,1,
2021-11-06,1.5,
2021-11-07,4,
2021-11-08,20,
2021-11-09,16,
2021-11-18,27,
2021-11-19,27,
2021-11-20,13,
2021-11-21,6,
2021-11-22,4,
2021-11-23,7,
2021-11-25,4.5,
2021-11-26,44,
2021-11-27,14,
2021-11-28,16,
2021-11-29,24,
2021-12-02,16,
2021-12-04,6,
2021-12-05,54,
2021-12-06,5,
2021-12-07,3,
2021-12-08,6,
2021-12-12,4,
2021-12-13,16,
2021-12-14,20,
2021-12-15,20,
2021-12-16,27,
2021-12-18,6,
2021-12-22,28,
2021-12-25,30,
2021-12-26,18,
2021-12-27,30,
2021-12-31,42,
2022-01-04,13,
2022-01-08,14,
2022-01-15,18,
2022-01-18,20,
2022-01-20,6,
2022-01-29,12,
2022-01-30,2,
2022-01-31,7,
2022-02-04,65,
2022-02-05,60,
2022-02-09,15,
2022-02-10,3.8,
2022-02-11,15.8,
2022-02-18,3.8,
2022-02-19,1,
2022-02-20,14,
2022-02-28,4.3,
2022-03-01,4.5,
2022-03-02,4.8,
2022-03-03,4.8,
2022-03-06,7,
2022-03-15,14,
2022-03-16,2.5,
2022-03-17,18,
2022-03-26,7,
2022-04-03,15,
2022-04-04,15,
2022-04-09,44,
2022-04-10,22,
2022-04-11,32,
2022-04-12,8,
2022-04-16,40,
2022-04-17,16,
2022-04-24,6.5,
2022-04-25,6.5,
2022-04-26,8,
2022-05-09,1.8,
2022-05-21,18,
2022-05-22,0.5,
2022-05-23,3,
2022-06-15,4,
2022-06-25,23.2,
2022-10-18,1,
2022-10-19,1,
2022-10-23,7.5,
2022-10-24,0.8,
2022-10-25,10,
2022-10-27,36,
2022-10-28,12,
2022-10-29,16.7,
2022-11-03,4.2,
2022-11-05,1.8,
2022-11-07,8,
2022-11-08,46,
2022-11-09,44,
2022-11-12,13,
2022-11-13,65,
2022-11-14,30,
2022-11-19,1.5,
2022-11-26,24,
2022-11-27,30,
2022-12-06,16,
2022-12-07,23,
2022-12-09,3.8,
2022-12-12,10,
2022-12-13,22,
2022-12-17,32,
2022-12-18,5,
2022-12-21,2.2,
2022-12-22,35,
2022-12-26,2,
2022-12-30,5.5,
2022-12-31,15,
2023-01-06,11,
2023-01-20,12.2,
2023-01-30,11.8,
2023-01-31,82.8,
2023-02-01,5,
2023-02-03,28,
2023-02-04,60,
2023-02-09,3,
2023-02-10,42,
2023-02-11,88,
2023-02-12,14,
2023-02-13,21,
2023-02-14,28,
2023-02-15,14,
2023-02-16,1.2,
2023-02-20,10,
2023-02-21,8,
2023-03-04,4.5,
2023-03-26,16,
2023-03-27,13,
2023-03-31,10,
2023-04-03,2,
2023-04-11,32,
2023-04-29,6,
2023-05-05,10,
2023-05-08,30,
2023-05-09,20,
2023-05-14,1.8,
2023-05-15,10,
2023-05-16,28,
2023-05-17,18,
2023-05-18,8,
2023-05-19,13,
2023-05-30,5.8,
2023-06-29,12,
2023-07-11,3,
2023-09-28,22,
2023-10-16,16,
2023-10-29,1,
2023-10-30,2.5,
2023-10-31,10,
2023-11-01,17,
2023-11-08,46,
2023-11-13,24,
2023-11-14,11,
2023-11-21,9,
2023-11-22,4,
2023-11-28,10,
2023-12-07,1.2,
2023-12-09,6.5,
2023-12-11,9,
2023-12-12,21,
2023-12-16,30,
2023-12-19,2,
2023-12-26,50,
2023-12-27,20,
2023-12-29,8,
2024-01-06,2.5,
2024-01-07,3,
2024-01-08,8,
2024-01-10,4,
2024-01-12,9,
2024-01-13,14,
2024-01-14,12,
2024-01-15,11.5,
2024-01-17,36,
2024-01-18,9,
2024-01-26,5.8,
2024-01-27,1.5,
2024-01-29,50,
2024-01-30,36,
2024-01-31,8.5,
2024-02-04,9,
2024-02-09,16,
2024-02-10,3,
2024-02-16,21,
2024-02-19,16,
2024-02-20,1.5,
2024-02-21,30,
2024-02-24,2,
2024-03-03,2.5,
2024-03-08,6,
2024-03-09,1.5,
2024-03-11,24,
2024-03-12,10,
2024-03-21,5.5,
2024-04-04,56,
2024-04-07,42,
2024-04-09,16,
2024-04-10,27,
2024-04-27,13,
2024-05-14,1,
2024-06-03,6,
2024-09-28,2,
2024-10-16,32,
2024-10-21,6,
2024-10-22,6.1,
2024-10-28,3.8,
2024-11-04,3,
2024-11-08,29,
2024-11-10,9,
2024-11-11,10,
2024-11-13,12,
2024-11-14,50,
2024-11-18,2.8,
2024-11-19,5,
2024-11-28,6,
2024-12-09,13.2,
2024-12-13,0.8,
2024-12-17,36,
2024-12-18,25,
2024-12-21,0.5,
2024-12-22,3.2,
2024-12-23,3,
2024-12-24,5,
2024-12-26,2,
2024-12-29,32,
2025-01-02,50,
2025-01-03,70,
2025-01-06,9,
2025-01-07,2.5,
2025-01-08,3,
2025-01-10,4.2,
2025-01-11,2,
2025-01-12,20,
2025-01-13,14,
2025-01-14,1,
2025-01-15,0.5,
2025-01-16,7,
2025-01-17,12,
2025-01-24,0.3,
2025-01-31,0.3,
2025-02-01,1.3,
2025-02-03,2,
2025-02-04,2.1,
2025-02-10,1.2,
2025-02-11,8,
2025-02-12,0.2,
2025-02-14,1,
2025-02-16,14,
2025-02-17,8,
2025-02-18,22,
2025-02-19,53,
2025-02-20,60,
2025-02-24,20,
2025-02-28,0.2,
2025-03-01,9,
2025-03-02,23,
2025-03-03,3.8,
2025-03-09,0.7,
2025-03-10,2,
2025-03-11,3.8,
2025-03-12,10,
2025-03-13,20,
2025-03-14,4,
2025-03-15,3.5,
2025-03-16,6,
2025-03-17,1.9,
2025-03-20,2,
2025-03-27,1,
2025-03-28,1,
2025-03-29,9,
2025-04-03,5,
2025-04-04,28,
2025-04-05,3,
2025-04-07,1,
2025-04-10,0.8,
2025-04-16,7,
2025-04-18,6,
2025-04-20,1.5,
2025-04-24,46,
2025-04-25,5,
2025-05-03,6,
2025-06-09,1.5,
2025-07-05,1.6,
2025-07-26,1,
2025-08-07,1,
2025-08-08,3,
2025-09-29,13,
2025-10-10,10,
2025-10-12,4,
2025-10-19,8,
2025-10-20,7,
2025-10-21,7,
2025-10-29,18,
2025-10-30,5,
2025-10-31,12,
2025-11-05,0.8,
2025-11-07,2.5,
2025-11-08,9,
2025-11-10,0.2,
2025-11-11,9.9,
2025-11-12,2.5,
2025-11-16,16,
2025-11-17,17,
2025-11-18,4.2,
2025-11-19,1.9,
2025-11-20,3,
2025-11-21,6,
2025-11-24,29,
2025-11-25,16,
2025-11-26,22,
2025-11-27,27,
2025-11-29,6,
2025-11-30,22,
2025-12-02,7.5,
2025-12-03,9,
2025-12-04,3,
2025-12-08,7,
2025-12-09,10,
2025-12-10,6,
2025-12-11,11,
2025-12-13,40,
2025-12-17,15,
2025-12-18,10,
2025-12-19,15,
2025-12-20,10,
2025-12-21,11,
2025-12-22,20,
2025-12-23,10,
2025-12-24,16,
2025-12-26,4,
2025-12-27,4,
2025-12-29,4,
2026-01-01,5,
2026-01-02,4,
2026-01-04,13,
2026-01-05,3,
2026-01-10,32,
2026-01-19,20,
2026-01-29,3,
2026-01-31,24,
2026-02-02,22,
2026-02-13,7,
2026-02-15,6,
2026-02-18,0.2,
2026-02-21,3.2,
2026-03-01,9,
2026-03-02,10,
2026-03-03,3.5,
2026-03-04,7,
2026-03-06,24,
2026-03-07,20,
2026-03-13,4.1,
2026-03-16,7,
2026-03-20,1.8,
2026-03-22,7.3,
2026-03-23,16,
2026-03-24,1.2,
2026-03-27,4,
2026-03-31,0.1,
2026-04-08,4,
2026-04-13,2.2,
2026-04-14,22,
2026-04-15,1.8,
2026-04-18,16,
2026-04-20,18.2,
2026-04-22,20,
2026-04-24,11,
2026-04-25,16,
2026-05-01,7,
2026-05-05,4,
2026-05-06,33,
2026-06-22,1.2,
2026-08-11,1.3,
2026-08-12,12,
2026-09-06,1.8,
2026-09-07,12,
